,close,pctChange,StockChange
2015-01-03,36.5,-0.001641137855579955,neutral
2015-01-04,36.440000000000005,-0.0016438356164382162,neutral
2015-01-05,36.38,-0.0016465422612513825,neutral
2015-01-06,38.76,0.06542056074766345,positive
2015-01-07,37.28,-0.03818369453044368,decrease
2015-01-08,39.09,0.048551502145922854,positive
2015-01-09,40.17,0.027628549501151234,positive
2015-01-10,39.903333333333336,-0.006638453240394915,neutral
2015-01-11,39.63666666666666,-0.006682816807284442,neutral
2015-01-12,39.37,-0.006727777310570948,neutral
2015-01-13,39.65,0.007112014224028407,neutral
2015-01-14,39.85,0.0050441361916773175,neutral
2015-01-15,36.93,-0.07327478042659974,decrease
2015-01-16,37.31,0.010289737340915206,neutral
2015-01-17,37.375,0.0017421602787455193,neutral
2015-01-18,37.44,0.0017391304347824654,neutral
2015-01-19,37.505,0.0017361111111111605,neutral
2015-01-20,37.57,0.0017331022530329143,neutral
2015-01-21,37.83,0.006920415224913379,neutral
2015-01-22,39.07,0.03277821834522876,positive
2015-01-23,39.42,0.008958280010238129,neutral
2015-01-24,39.64666666666667,0.005750042279722534,neutral
2015-01-25,39.873333333333335,0.005717168320161337,neutral
2015-01-26,40.1,0.005684668115699676,neutral
2015-01-27,38.92,-0.029426433915211936,decrease
2015-01-28,37.15,-0.04547790339157254,decrease
2015-01-29,36.68,-0.012651413189771143,neutral
2015-01-30,37.53,0.023173391494002216,positive
2015-01-31,37.50666666666667,-0.0006217248423483479,neutral
2015-02-01,37.483333333333334,-0.0006221116246000191,neutral
2015-02-02,37.46,-0.000622498888394829,neutral
2015-02-03,39.79,0.0621996796583022,positive
2015-02-04,40.72,0.02337270671022873,positive
2015-02-05,41.26,0.013261296660117772,neutral
2015-02-06,48.01,0.16359670382937463,positive
2015-02-07,47.78,-0.004790668610705984,neutral
2015-02-08,47.55,-0.004813729593972416,neutral
2015-02-09,47.32,-0.004837013669821144,neutral
2015-02-10,46.26,-0.022400676246830176,decrease
2015-02-11,47.5,0.026805015131863508,positive
2015-02-12,47.95,0.0094736842105263,neutral
2015-02-13,48.5,0.011470281543274119,neutral
2015-02-14,48.3825,-0.0024226804123711476,neutral
2015-02-15,48.265,-0.002428564046917825,neutral
2015-02-16,48.1475,-0.0024344763286024973,neutral
2015-02-17,48.03,-0.0024404174671581735,neutral
2015-02-18,47.82,-0.004372267332916957,neutral
2015-02-19,48.7,0.018402342116269343,positive
2015-02-20,49.11,0.008418891170431042,neutral
2015-02-21,48.89666666666667,-0.004343989683024407,neutral
2015-02-22,48.68333333333333,-0.004362942259186098,neutral
2015-02-23,48.47,-0.004382060938034837,neutral
2015-02-24,48.69,0.004538890035073129,neutral
2015-02-25,48.55,-0.002875333744095321,neutral
2015-02-26,49.41,0.017713697219361446,positive
2015-02-27,48.08,-0.02691762801052411,decrease
2015-02-28,48.10333333333333,0.0004853022739879087,neutral
2015-03-01,48.126666666666665,0.00048506686993277093,neutral
2015-03-02,48.15,0.0004848316941403752,neutral
2015-03-03,47.71,-0.009138110072689498,neutral
2015-03-04,47.57,-0.0029343953049675298,neutral
2015-03-05,47.35,-0.004624763506411611,neutral
2015-03-06,46.75,-0.012671594508975703,neutral
2015-03-07,47.03,0.0059893048128343285,neutral
2015-03-08,47.31,0.005953646608547691,neutral
2015-03-09,47.59,0.005918410484041514,neutral
2015-03-10,45.84,-0.03677243118302165,decrease
2015-03-11,46.27,0.00938045375218155,neutral
2015-03-12,47.07,0.01728982061811113,positive
2015-03-13,46.66,-0.008710431272572872,neutral
2015-03-14,46.58333333333333,-0.0016430918702672326,neutral
2015-03-15,46.50666666666667,-0.0016457960644006286,neutral
2015-03-16,46.43,-0.0016485091743119185,neutral
2015-03-17,46.93,0.01076889941847936,neutral
2015-03-18,47.2,0.005753249520562553,neutral
2015-03-19,47.93,0.015466101694915135,positive
2015-03-20,48.44,0.01064051742123917,neutral
2015-03-21,48.446666666666665,0.00013762730525734845,neutral
2015-03-22,48.45333333333333,0.00013760836658871511,neutral
2015-03-23,48.46,0.00013758943313146865,neutral
2015-03-24,51.47,0.0621130829550145,positive
2015-03-25,49.5,-0.038274723139693045,decrease
2015-03-26,49.92,0.00848484848484854,neutral
2015-03-27,50.01,0.0018028846153845812,neutral
2015-03-28,49.97,-0.0007998400319936261,neutral
2015-03-29,49.93,-0.0008004802881729223,neutral
2015-03-30,49.89,-0.0008011215701982932,neutral
2015-03-31,50.08,0.0038083784325515513,neutral
2015-04-01,50.47,0.007787539936102261,neutral
2015-04-02,50.42,-0.000990687537150703,neutral
2015-04-03,50.525000000000006,0.0020825069416898767,neutral
2015-04-04,50.63,0.0020781791192479027,neutral
2015-04-05,50.735,0.0020738692474817633,neutral
2015-04-06,50.84,0.002069577214940388,neutral
2015-04-07,52.87,0.03992918961447667,positive
2015-04-08,52.3,-0.01078116133913376,neutral
2015-04-09,52.17,-0.0024856596558316957,neutral
2015-04-10,51.94,-0.004408663983132111,neutral
2015-04-11,51.83333333333333,-0.0020536516493390167,neutral
2015-04-12,51.72666666666667,-0.0020578778135047493,neutral
2015-04-13,51.62,-0.002062121407397921,neutral
2015-04-14,51.2,-0.008136381247578317,neutral
2015-04-15,51.3,0.001953124999999778,neutral
2015-04-16,52.03,0.014230019493177481,neutral
2015-04-17,50.66,-0.026330962906015887,decrease
2015-04-18,50.906666666666666,0.004869061718647316,neutral
2015-04-19,51.15333333333333,0.004845468831849109,neutral
2015-04-20,51.4,0.004822103479734219,neutral
2015-04-21,51.32,-0.0015564202334630295,neutral
2015-04-22,51.73,0.007989088074824569,neutral
2015-04-23,51.41,-0.006185965590566389,neutral
2015-04-24,50.82,-0.011476366465668075,neutral
2015-04-25,51.1,0.005509641873278293,neutral
2015-04-26,51.379999999999995,0.005479452054794498,neutral
2015-04-27,51.66,0.005449591280654031,neutral
2015-04-28,42.27,-0.1817653890824621,decrease
2015-04-29,38.49,-0.08942512420156146,decrease
2015-04-30,38.96,0.012210963886723825,neutral
2015-05-01,37.84,-0.028747433264887046,decrease
2015-05-02,37.85333333333334,0.00035236081747713754,neutral
2015-05-03,37.86666666666667,0.00035223670306439026,neutral
2015-05-04,37.88,0.00035211267605639307,neutral
2015-05-05,37.42,-0.012143611404435095,neutral
2015-05-06,37.26,-0.004275788348476861,neutral
2015-05-07,37.71,0.012077294685990392,neutral
2015-05-08,37.59,-0.0031821797931582685,neutral
2015-05-09,37.49666666666667,-0.0024829298572315306,neutral
2015-05-10,37.403333333333336,-0.002489110143123807,neutral
2015-05-11,37.31,-0.0024953212726138707,neutral
2015-05-12,37.48,0.004556419190565375,neutral
2015-05-13,37.72,0.006403415154749181,neutral
2015-05-14,37.33,-0.01033934252386004,neutral
2015-05-15,37.1,-0.00616126439860698,neutral
2015-05-16,37.160000000000004,0.0016172506738545422,neutral
2015-05-17,37.22,0.0016146393972011897,neutral
2015-05-18,37.28,0.001612036539494932,neutral
2015-05-19,37.5,0.005901287553647938,neutral
2015-05-20,36.78,-0.019199999999999995,decrease
2015-05-21,36.68,-0.002718868950516651,neutral
2015-05-22,36.6,-0.0021810250817884125,neutral
2015-05-23,36.5775,-0.0006147540983606481,neutral
2015-05-24,36.555,-0.0006151322534344583,neutral
2015-05-25,36.5325,-0.0006155108740254489,neutral
2015-05-26,36.51,-0.0006158899609937096,neutral
2015-05-27,36.41,-0.0027389756231169793,neutral
2015-05-28,36.83,0.01153529250205998,neutral
2015-05-29,36.67,-0.004344284550637956,neutral
2015-05-30,36.656666666666666,-0.00036360330879015024,neutral
2015-05-31,36.64333333333334,-0.00036373556424462716,neutral
2015-06-01,36.63,-0.00036386791594655854,neutral
2015-06-02,36.4,-0.0062790062790063494,neutral
2015-06-03,37.0,0.016483516483516425,positive
2015-06-04,36.71,-0.007837837837837869,neutral
2015-06-05,37.0,0.007899754835194672,neutral
2015-06-06,36.82,-0.004864864864864815,neutral
2015-06-07,36.64,-0.004888647474198815,neutral
2015-06-08,36.46,-0.004912663755458513,neutral
2015-06-09,35.88,-0.015907844212835975,decrease
2015-06-10,35.85,-0.0008361204013378476,neutral
2015-06-11,35.84,-0.0002789400278939702,neutral
2015-06-12,35.9,0.0016741071428569843,neutral
2015-06-13,35.49,-0.011420612813370368,neutral
2015-06-14,35.08,-0.011552550014088614,neutral
2015-06-15,34.67,-0.01168757126567832,neutral
2015-06-16,34.82,0.004326507066628071,neutral
2015-06-17,34.69,-0.0037334865020104413,neutral
2015-06-18,34.66,-0.000864802536754139,neutral
2015-06-19,35.86,0.034622042700519495,positive
2015-06-20,35.75666666666667,-0.0028815765012083494,neutral
2015-06-21,35.65333333333333,-0.0028899039806098425,neutral
2015-06-22,35.55,-0.0028982797307404162,neutral
2015-06-23,35.37,-0.005063291139240533,neutral
2015-06-24,35.17,-0.005654509471303193,neutral
2015-06-25,35.17,0.0,neutral
2015-06-26,35.26,0.002558999147000085,neutral
2015-06-27,34.91,-0.009926262053318258,neutral
2015-06-28,34.56,-0.010025780578630572,neutral
2015-06-29,34.21,-0.01012731481481488,neutral
2015-06-30,36.22,0.058754750073078066,positive
2015-07-01,35.4,-0.022639425731640017,decrease
2015-07-02,35.72,0.009039548022598876,neutral
2015-07-03,35.6475,-0.0020296752519596284,neutral
2015-07-04,35.575,-0.002033803212006413,neutral
2015-07-05,35.5025,-0.002037947997189149,neutral
2015-07-06,35.43,-0.002042109710583717,neutral
2015-07-07,35.52,0.002540220152413397,neutral
2015-07-08,34.76,-0.021396396396396566,decrease
2015-07-09,34.36,-0.011507479861910253,neutral
2015-07-10,34.91,0.016006984866123286,positive
2015-07-11,35.199999999999996,0.008307075336579706,neutral
2015-07-12,35.49,0.008238636363636642,neutral
2015-07-13,35.78,0.00817131586362363,neutral
2015-07-14,36.72,0.026271660145332554,positive
2015-07-15,35.66,-0.028867102396514244,decrease
2015-07-16,36.1,0.012338754907459393,neutral
2015-07-17,35.67,-0.011911357340720241,neutral
2015-07-18,35.71666666666667,0.0013082889449584911,neutral
2015-07-19,35.763333333333335,0.0013065795613624864,neutral
2015-07-20,35.81,0.0013048746388293342,neutral
2015-07-21,36.63,0.02289863166713202,positive
2015-07-22,36.09,-0.014742014742014753,neutral
2015-07-23,36.19,0.002770850651149681,neutral
2015-07-24,35.42,-0.02127659574468077,decrease
2015-07-25,35.18,-0.006775832862789488,neutral
2015-07-26,34.940000000000005,-0.006822057987492802,neutral
2015-07-27,34.7,-0.006868918145392144,neutral
2015-07-28,36.54,0.05302593659942345,positive
2015-07-29,31.24,-0.14504652435686916,decrease
2015-07-30,31.47,0.007362355953905331,neutral
2015-07-31,31.01,-0.014617095646647482,neutral
2015-08-01,30.43,-0.018703643985811036,decrease
2015-08-02,29.85,-0.019060138021689044,decrease
2015-08-03,29.27,-0.019430485762144123,decrease
2015-08-04,29.34,0.0023915271609156186,neutral
2015-08-05,28.48,-0.029311520109066125,decrease
2015-08-06,27.54,-0.0330056179775281,decrease
2015-08-07,27.04,-0.01815541031227308,decrease
2015-08-08,27.86,0.03032544378698221,positive
